AGE	AGE_LABEL	AGE_HIERARCHY	AGE_PARENT	SEX	SEX_LABEL	SEX_HIERARCHY	TIME	ICD10_HIERARCHY	ICD10_PARENT	ICD10	ICD10_LABEL	Organ	Nb_death	Pop	Death_Rate	x	y	Sum_death_in_cat
TOTAL	Total	0	None	F	Females	1	2001	2	A_B	A15-A19_B90	Tuberculosis	Lung	516.0	31400989	0.016432603	230	460	23623.0
TOTAL	Total	0	None	F	Females	1	2002	2	A_B	A15-A19_B90	Tuberculosis	Lung	462.0	31645924	0.014599037	230	460	25194.0
TOTAL	Total	0	None	F	Females	1	2003	2	A_B	A15-A19_B90	Tuberculosis	Lung	441.0	31887488	0.013829876	230	460	26987.0
TOTAL	Total	0	None	F	Females	1	2004	2	A_B	A15-A19_B90	Tuberculosis	Lung	404.0	32120553	0.012577617	230	460	23772.0
TOTAL	Total	0	None	F	Females	1	2005	2	A_B	A15-A19_B90	Tuberculosis	Lung	418.0	32387008	0.01290641	230	460	27356.0
TOTAL	Total	0	None	F	Females	1	2006	2	A_B	A15-A19_B90	Tuberculosis	Lung	341.0	32638535	0.010447773	230	460	24573.0
TOTAL	Total	0	None	F	Females	1	2007	2	A_B	A15-A19_B90	Tuberculosis	Lung	318.0	32841832	0.009682773	230	460	25783.0
TOTAL	Total	0	None	F	Females	1	2008	2	A_B	A15-A19_B90	Tuberculosis	Lung	310.0	33026963	0.00938627	230	460	26446.0
TOTAL	Total	0	None	M	Males	1	2001	2	A_B	B15-B19_B942	Viral hepatitis and sequelae of viral hepatitis	Liver	471.0	29578326	0.015923822	260	410	20259.0
TOTAL	Total	0	None	M	Males	1	2002	2	A_B	B15-B19_B942	Viral hepatitis and sequelae of viral hepatitis	Liver	472.0	29778112	0.015850568	260	410	20106.0
TOTAL	Total	0	None	M	Males	1	2003	2	A_B	B15-B19_B942	Viral hepatitis and sequelae of viral hepatitis	Liver	406.0	29976600	0.013543898	260	410	21252.0
TOTAL	Total	0	None	M	Males	1	2004	2	A_B	B15-B19_B942	Viral hepatitis and sequelae of viral hepatitis	Liver	399.0	30171688	0.013224318	260	410	19771.0
TOTAL	Total	0	None	M	Males	1	2005	2	A_B	B15-B19_B942	Viral hepatitis and sequelae of viral hepatitis	Liver	430.0	30385862	0.014151318	260	410	20122.0
TOTAL	Total	0	None	M	Males	1	2006	2	A_B	B15-B19_B942	Viral hepatitis and sequelae of viral hepatitis	Liver	407.0	30591100	0.013304523	260	410	19911.0
TOTAL	Total	0	None	M	Males	1	2007	2	A_B	B15-B19_B942	Viral hepatitis and sequelae of viral hepatitis	Liver	408.0	30803233	0.013245363	260	410	19782.0
TOTAL	Total	0	None	M	Males	1	2008	2	A_B	B15-B19_B942	Viral hepatitis and sequelae of viral hepatitis	Liver	462.0	30980230	0.014912736	260	410	20338.0
TOTAL	Total	0	None	F	Females	1	2001	2	A_B	B15-B19_B942	Viral hepatitis and sequelae of viral hepatitis	Liver	439.0	31400989	0.013980451	260	410	16414.0
TOTAL	Total	0	None	F	Females	1	2002	2	A_B	B15-B19_B942	Viral hepatitis and sequelae of viral hepatitis	Liver	405.0	31645924	0.012797857	260	410	16840.0
TOTAL	Total	0	None	F	Females	1	2003	2	A_B	B15-B19_B942	Viral hepatitis and sequelae of viral hepatitis	Liver	329.0	31887488	0.010317526	260	410	18745.0
TOTAL	Total	0	None	F	Females	1	2004	2	A_B	B15-B19_B942	Viral hepatitis and sequelae of viral hepatitis	Liver	342.0	32120553	0.010647388	260	410	15609.0
TOTAL	Total	0	None	F	Females	1	2005	2	A_B	B15-B19_B942	Viral hepatitis and sequelae of viral hepatitis	Liver	355.0	32387008	0.010961185	260	410	15984.0
TOTAL	Total	0	None	F	Females	1	2006	2	A_B	B15-B19_B942	Viral hepatitis and sequelae of viral hepatitis	Liver	335.0	32638535	0.010263941	260	410	15732.0
TOTAL	Total	0	None	F	Females	1	2007	2	A_B	B15-B19_B942	Viral hepatitis and sequelae of viral hepatitis	Liver	317.0	32841832	0.009652324	260	410	15594.0
TOTAL	Total	0	None	F	Females	1	2008	2	A_B	B15-B19_B942	Viral hepatitis and sequelae of viral hepatitis	Liver	359.0	33026963	0.010869907	260	410	15998.0
TOTAL	Total	0	None	M	Males	1	2001	2	A_B	B20-B24	Human immunodeficiency virus [HIV] disease	General	892.0	29578326	0.030157217	400	545	18308.0
TOTAL	Total	0	None	M	Males	1	2002	2	A_B	B20-B24	Human immunodeficiency virus [HIV] disease	General	835.0	29778112	0.02804073	400	545	18545.0
TOTAL	Total	0	None	M	Males	1	2003	2	A_B	B20-B24	Human immunodeficiency virus [HIV] disease	General	794.0	29976600	0.026487327	400	545	18510.0
TOTAL	Total	0	None	M	Males	1	2004	2	A_B	B20-B24	Human immunodeficiency virus [HIV] disease	General	766.0	30171688	0.025388039	400	545	17431.0
TOTAL	Total	0	None	M	Males	1	2005	2	A_B	B20-B24	Human immunodeficiency virus [HIV] disease	General	685.0	30385862	0.022543379	400	545	17894.0
TOTAL	Total	0	None	M	Males	1	2006	2	A_B	B20-B24	Human immunodeficiency virus [HIV] disease	General	668.0	30591100	0.021836416	400	545	17822.0
TOTAL	Total	0	None	M	Males	1	2007	2	A_B	B20-B24	Human immunodeficiency virus [HIV] disease	General	597.0	30803233	0.019381082	400	545	18018.0
TOTAL	Total	0	None	M	Males	1	2008	2	A_B	B20-B24	Human immunodeficiency virus [HIV] disease	General	518.0	30980230	0.016720341	400	545	17952.0
TOTAL	Total	0	None	F	Females	1	2001	2	A_B	B20-B24	Human immunodeficiency virus [HIV] disease	General	248.0	31400989	0.00789784	400	545	13793.0
TOTAL	Total	0	None	F	Females	1	2002	2	A_B	B20-B24	Human immunodeficiency virus [HIV] disease	General	257.0	31645924	0.008121109	400	545	13946.0
TOTAL	Total	0	None	F	Females	1	2003	2	A_B	B20-B24	Human immunodeficiency virus [HIV] disease	General	250.0	31887488	0.007840066	400	545	14564.0
TOTAL	Total	0	None	F	Females	1	2004	2	A_B	B20-B24	Human immunodeficiency virus [HIV] disease	General	252.0	32120553	0.007845444	400	545	13529.0
TOTAL	Total	0	None	F	Females	1	2005	2	A_B	B20-B24	Human immunodeficiency virus [HIV] disease	General	232.0	32387008	0.007163366	400	545	13650.0
TOTAL	Total	0	None	F	Females	1	2006	2	A_B	B20-B24	Human immunodeficiency virus [HIV] disease	General	218.0	32638535	0.006679221	400	545	13604.0
TOTAL	Total	0	None	F	Females	1	2007	2	A_B	B20-B24	Human immunodeficiency virus [HIV] disease	General	197.0	32841832	0.005998447	400	545	13413.0
TOTAL	Total	0	None	F	Females	1	2008	2	A_B	B20-B24	Human immunodeficiency virus [HIV] disease	General	180.0	33026963	0.005450092	400	545	14065.0
TOTAL	Total	0	None	M	Males	1	2001	2	C	C_OTH	Other malignant neoplasms (remainder of C00-C97)	General	13977.0	29578326	0.472541955	400	545	18308.0
TOTAL	Total	0	None	M	Males	1	2002	2	C	C_OTH	Other malignant neoplasms (remainder of C00-C97)	General	14056.0	29778112	0.472024553	400	545	18545.0
TOTAL	Total	0	None	M	Males	1	2003	2	C	C_OTH	Other malignant neoplasms (remainder of C00-C97)	General	13818.0	29976600	0.460959548	400	545	18510.0
TOTAL	Total	0	None	M	Males	1	2004	2	C	C_OTH	Other malignant neoplasms (remainder of C00-C97)	General	13196.0	30171688	0.437363664	400	545	17431.0
TOTAL	Total	0	None	M	Males	1	2005	2	C	C_OTH	Other malignant neoplasms (remainder of C00-C97)	General	13561.0	30385862	0.446293082	400	545	17894.0
TOTAL	Total	0	None	M	Males	1	2006	2	C	C_OTH	Other malignant neoplasms (remainder of C00-C97)	General	13300.0	30591100	0.434766975	400	545	17822.0
TOTAL	Total	0	None	M	Males	1	2007	2	C	C_OTH	Other malignant neoplasms (remainder of C00-C97)	General	13524.0	30803233	0.439044824	400	545	18018.0
TOTAL	Total	0	None	M	Males	1	2008	2	C	C_OTH	Other malignant neoplasms (remainder of C00-C97)	General	13323.0	30980230	0.430048453	400	545	17952.0
TOTAL	Total	0	None	F	Females	1	2001	2	C	C_OTH	Other malignant neoplasms (remainder of C00-C97)	General	9591.0	31400989	0.30543624	400	545	13793.0
TOTAL	Total	0	None	F	Females	1	2002	2	C	C_OTH	Other malignant neoplasms (remainder of C00-C97)	General	9619.0	31645924	0.303956996	400	545	13946.0
TOTAL	Total	0	None	F	Females	1	2003	2	C	C_OTH	Other malignant neoplasms (remainder of C00-C97)	General	9553.0	31887488	0.299584589	400	545	14564.0
TOTAL	Total	0	None	F	Females	1	2004	2	C	C_OTH	Other malignant neoplasms (remainder of C00-C97)	General	9451.0	32120553	0.294235283	400	545	13529.0
TOTAL	Total	0	None	F	Females	1	2005	2	C	C_OTH	Other malignant neoplasms (remainder of C00-C97)	General	9360.0	32387008	0.289004776	400	545	13650.0
TOTAL	Total	0	None	F	Females	1	2006	2	C	C_OTH	Other malignant neoplasms (remainder of C00-C97)	General	9319.0	32638535	0.285521394	400	545	13604.0
TOTAL	Total	0	None	F	Females	1	2007	2	C	C_OTH	Other malignant neoplasms (remainder of C00-C97)	General	9110.0	32841832	0.277390129	400	545	13413.0
TOTAL	Total	0	None	F	Females	1	2008	2	C	C_OTH	Other malignant neoplasms (remainder of C00-C97)	General	9248.0	33026963	0.280013636	400	545	14065.0
TOTAL	Total	0	None	M	Males	1	2001	2	C	C00-C14	Malignant neoplasm of lip, oral cavity, pharynx	oral cavity	3755.0	29578326	0.126951065	278	550	3755.0
TOTAL	Total	0	None	M	Males	1	2002	2	C	C00-C14	Malignant neoplasm of lip, oral cavity, pharynx	oral cavity	3834.0	29778112	0.128752286	278	550	3834.0
TOTAL	Total	0	None	M	Males	1	2003	2	C	C00-C14	Malignant neoplasm of lip, oral cavity, pharynx	oral cavity	3635.0	29976600	0.12126125	278	550	3635.0
TOTAL	Total	0	None	M	Males	1	2004	2	C	C00-C14	Malignant neoplasm of lip, oral cavity, pharynx	oral cavity	3623.0	30171688	0.12007946	278	550	3623.0
TOTAL	Total	0	None	M	Males	1	2005	2	C	C00-C14	Malignant neoplasm of lip, oral cavity, pharynx	oral cavity	3442.0	30385862	0.113276365	278	550	3442.0
TOTAL	Total	0	None	M	Males	1	2006	2	C	C00-C14	Malignant neoplasm of lip, oral cavity, pharynx	oral cavity	3473.0	30591100	0.113529752	278	550	3473.0
TOTAL	Total	0	None	M	Males	1	2007	2	C	C00-C14	Malignant neoplasm of lip, oral cavity, pharynx	oral cavity	3317.0	30803233	0.107683502	278	550	3317.0
TOTAL	Total	0	None	M	Males	1	2008	2	C	C00-C14	Malignant neoplasm of lip, oral cavity, pharynx	oral cavity	3217.0	30980230	0.103840417	278	550	3217.0
TOTAL	Total	0	None	F	Females	1	2001	2	C	C00-C14	Malignant neoplasm of lip, oral cavity, pharynx	oral cavity	738.0	31400989	0.023502444	278	550	738.0
TOTAL	Total	0	None	F	Females	1	2002	2	C	C00-C14	Malignant neoplasm of lip, oral cavity, pharynx	oral cavity	796.0	31645924	0.025153318	278	550	796.0
TOTAL	Total	0	None	F	Females	1	2003	2	C	C00-C14	Malignant neoplasm of lip, oral cavity, pharynx	oral cavity	707.0	31887488	0.022171706	278	550	707.0
TOTAL	Total	0	None	F	Females	1	2004	2	C	C00-C14	Malignant neoplasm of lip, oral cavity, pharynx	oral cavity	740.0	32120553	0.023038209	278	550	740.0
TOTAL	Total	0	None	F	Females	1	2005	2	C	C00-C14	Malignant neoplasm of lip, oral cavity, pharynx	oral cavity	754.0	32387008	0.02328094	278	550	754.0
TOTAL	Total	0	None	F	Females	1	2006	2	C	C00-C14	Malignant neoplasm of lip, oral cavity, pharynx	oral cavity	734.0	32638535	0.022488754	278	550	734.0
TOTAL	Total	0	None	F	Females	1	2007	2	C	C00-C14	Malignant neoplasm of lip, oral cavity, pharynx	oral cavity	733.0	32841832	0.022319096	278	550	733.0
TOTAL	Total	0	None	F	Females	1	2008	2	C	C00-C14	Malignant neoplasm of lip, oral cavity, pharynx	oral cavity	762.0	33026963	0.023072058	278	550	762.0
TOTAL	Total	0	None	M	Males	1	2001	2	C	C15	Malignant neoplasm of oesophagus	Oesophagus	3442.0	29578326	0.116368993	278	490	3442.0
TOTAL	Total	0	None	M	Males	1	2002	2	C	C15	Malignant neoplasm of oesophagus	Oesophagus	3509.0	29778112	0.11783823	278	490	3509.0
TOTAL	Total	0	None	M	Males	1	2003	2	C	C15	Malignant neoplasm of oesophagus	Oesophagus	3401.0	29976600	0.113455162	278	490	3401.0
TOTAL	Total	0	None	M	Males	1	2004	2	C	C15	Malignant neoplasm of oesophagus	Oesophagus	3257.0	30171688	0.107948882	278	490	3257.0
TOTAL	Total	0	None	M	Males	1	2005	2	C	C15	Malignant neoplasm of oesophagus	Oesophagus	3323.0	30385862	0.10936007	278	490	3323.0
TOTAL	Total	0	None	M	Males	1	2006	2	C	C15	Malignant neoplasm of oesophagus	Oesophagus	3193.0	30591100	0.104376763	278	490	3193.0
TOTAL	Total	0	None	M	Males	1	2007	2	C	C15	Malignant neoplasm of oesophagus	Oesophagus	3196.0	30803233	0.103755343	278	490	3196.0
TOTAL	Total	0	None	M	Males	1	2008	2	C	C15	Malignant neoplasm of oesophagus	Oesophagus	3175.0	30980230	0.102484714	278	490	3175.0
TOTAL	Total	0	None	F	Females	1	2001	2	C	C15	Malignant neoplasm of oesophagus	Oesophagus	699.0	31400989	0.022260445	278	490	699.0
TOTAL	Total	0	None	F	Females	1	2002	2	C	C15	Malignant neoplasm of oesophagus	Oesophagus	759.0	31645924	0.023984131	278	490	759.0
TOTAL	Total	0	None	F	Females	1	2003	2	C	C15	Malignant neoplasm of oesophagus	Oesophagus	690.0	31887488	0.021638581	278	490	690.0
TOTAL	Total	0	None	F	Females	1	2004	2	C	C15	Malignant neoplasm of oesophagus	Oesophagus	697.0	32120553	0.021699502	278	490	697.0
TOTAL	Total	0	None	F	Females	1	2005	2	C	C15	Malignant neoplasm of oesophagus	Oesophagus	674.0	32387008	0.020810814	278	490	674.0
TOTAL	Total	0	None	F	Females	1	2006	2	C	C15	Malignant neoplasm of oesophagus	Oesophagus	719.0	32638535	0.022029175	278	490	719.0
TOTAL	Total	0	None	F	Females	1	2007	2	C	C15	Malignant neoplasm of oesophagus	Oesophagus	780.0	32841832	0.023750198	278	490	780.0
TOTAL	Total	0	None	F	Females	1	2008	2	C	C15	Malignant neoplasm of oesophagus	Oesophagus	776.0	33026963	0.023495954	278	490	776.0
TOTAL	Total	0	None	M	Males	1	2001	2	C	C16	Malignant neoplasm of stomach	Stomach	3213.0	29578326	0.108626837	295	400	3699.0
TOTAL	Total	0	None	M	Males	1	2002	2	C	C16	Malignant neoplasm of stomach	Stomach	3256.0	29778112	0.109342056	295	400	3749.0
TOTAL	Total	0	None	M	Males	1	2003	2	C	C16	Malignant neoplasm of stomach	Stomach	3174.0	29976600	0.105882588	295	400	3675.0
TOTAL	Total	0	None	M	Males	1	2004	2	C	C16	Malignant neoplasm of stomach	Stomach	3216.0	30171688	0.106589993	295	400	3628.0
TOTAL	Total	0	None	M	Males	1	2005	2	C	C16	Malignant neoplasm of stomach	Stomach	3177.0	30385862	0.104555204	295	400	3643.0
TOTAL	Total	0	None	M	Males	1	2006	2	C	C16	Malignant neoplasm of stomach	Stomach	3166.0	30591100	0.103494154	295	400	3564.0
TOTAL	Total	0	None	M	Males	1	2007	2	C	C16	Malignant neoplasm of stomach	Stomach	3123.0	30803233	0.101385462	295	400	3521.0
TOTAL	Total	0	None	M	Males	1	2008	2	C	C16	Malignant neoplasm of stomach	Stomach	3020.0	30980230	0.097481523	295	400	3460.0
TOTAL	Total	0	None	F	Females	1	2001	2	C	C16	Malignant neoplasm of stomach	Stomach	2020.0	31400989	0.064329184	295	400	2537.0
TOTAL	Total	0	None	F	Females	1	2002	2	C	C16	Malignant neoplasm of stomach	Stomach	2031.0	31645924	0.064178881	295	400	2477.0
TOTAL	Total	0	None	F	Females	1	2003	2	C	C16	Malignant neoplasm of stomach	Stomach	1878.0	31887488	0.058894573	295	400	2359.0
TOTAL	Total	0	None	F	Females	1	2004	2	C	C16	Malignant neoplasm of stomach	Stomach	1894.0	32120553	0.058965361	295	400	2325.0
TOTAL	Total	0	None	F	Females	1	2005	2	C	C16	Malignant neoplasm of stomach	Stomach	1867.0	32387008	0.057646572	295	400	2290.0
TOTAL	Total	0	None	F	Females	1	2006	2	C	C16	Malignant neoplasm of stomach	Stomach	1784.0	32638535	0.054659316	295	400	2177.0
TOTAL	Total	0	None	F	Females	1	2007	2	C	C16	Malignant neoplasm of stomach	Stomach	1734.0	32841832	0.052798516	295	400	2147.0
TOTAL	Total	0	None	F	Females	1	2008	2	C	C16	Malignant neoplasm of stomach	Stomach	1821.0	33026963	0.055136768	295	400	2269.0
TOTAL	Total	0	None	M	Males	1	2001	2	C	C18-C21	Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal	Colo-Rectum	8516.0	29578326	0.287913522	265	355	8516.0
TOTAL	Total	0	None	M	Males	1	2002	2	C	C18-C21	Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal	Colo-Rectum	8632.0	29778112	0.289877343	265	355	8632.0
TOTAL	Total	0	None	M	Males	1	2003	2	C	C18-C21	Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal	Colo-Rectum	8639.0	29976600	0.288191456	265	355	8639.0
TOTAL	Total	0	None	M	Males	1	2004	2	C	C18-C21	Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal	Colo-Rectum	8904.0	30171688	0.295111099	265	355	8904.0
TOTAL	Total	0	None	M	Males	1	2005	2	C	C18-C21	Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal	Colo-Rectum	8856.0	30385862	0.291451334	265	355	8856.0
TOTAL	Total	0	None	M	Males	1	2006	2	C	C18-C21	Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal	Colo-Rectum	8801.0	30591100	0.287698056	265	355	8801.0
TOTAL	Total	0	None	M	Males	1	2007	2	C	C18-C21	Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal	Colo-Rectum	8773.0	30803233	0.284807767	265	355	8773.0
TOTAL	Total	0	None	M	Males	1	2008	2	C	C18-C21	Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal	Colo-Rectum	9038.0	30980230	0.291734438	265	355	9038.0
TOTAL	Total	0	None	F	Females	1	2001	2	C	C18-C21	Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal	Colo-Rectum	7566.0	31400989	0.240947825	265	355	7566.0
TOTAL	Total	0	None	F	Females	1	2002	2	C	C18-C21	Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal	Colo-Rectum	7659.0	31645924	0.24202169	265	355	7659.0
TOTAL	Total	0	None	F	Females	1	2003	2	C	C18-C21	Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal	Colo-Rectum	7939.0	31887488	0.248969125	265	355	7939.0
TOTAL	Total	0	None	F	Females	1	2004	2	C	C18-C21	Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal	Colo-Rectum	7732.0	32120553	0.240718147	265	355	7732.0
TOTAL	Total	0	None	F	Females	1	2005	2	C	C18-C21	Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal	Colo-Rectum	7958.0	32387008	0.245715813	265	355	7958.0
TOTAL	Total	0	None	F	Females	1	2006	2	C	C18-C21	Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal	Colo-Rectum	7809.0	32638535	0.239257062	265	355	7809.0
TOTAL	Total	0	None	F	Females	1	2007	2	C	C18-C21	Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal	Colo-Rectum	7779.0	32841832	0.236862548	265	355	7779.0
TOTAL	Total	0	None	F	Females	1	2008	2	C	C18-C21	Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal	Colo-Rectum	8115.0	33026963	0.245708332	265	355	8115.0
TOTAL	Total	0	None	M	Males	1	2001	2	C	C22	Malignant neoplasm of liver and intrahepatic bile ducts	Liver	5258.0	29578326	0.1777653	260	410	20259.0
TOTAL	Total	0	None	M	Males	1	2002	2	C	C22	Malignant neoplasm of liver and intrahepatic bile ducts	Liver	5231.0	29778112	0.175665939	260	410	20106.0
TOTAL	Total	0	None	M	Males	1	2003	2	C	C22	Malignant neoplasm of liver and intrahepatic bile ducts	Liver	5321.0	29976600	0.177505121	260	410	21252.0
TOTAL	Total	0	None	M	Males	1	2004	2	C	C22	Malignant neoplasm of liver and intrahepatic bile ducts	Liver	5345.0	30171688	0.177152833	260	410	19771.0
TOTAL	Total	0	None	M	Males	1	2005	2	C	C22	Malignant neoplasm of liver and intrahepatic bile ducts	Liver	5516.0	30385862	0.181531793	260	410	20122.0
TOTAL	Total	0	None	M	Males	1	2006	2	C	C22	Malignant neoplasm of liver and intrahepatic bile ducts	Liver	5578.0	30591100	0.182340615	260	410	19911.0
TOTAL	Total	0	None	M	Males	1	2007	2	C	C22	Malignant neoplasm of liver and intrahepatic bile ducts	Liver	5529.0	30803233	0.179494146	260	410	19782.0
TOTAL	Total	0	None	M	Males	1	2008	2	C	C22	Malignant neoplasm of liver and intrahepatic bile ducts	Liver	5544.0	30980230	0.178952835	260	410	20338.0
TOTAL	Total	0	None	F	Females	1	2001	2	C	C22	Malignant neoplasm of liver and intrahepatic bile ducts	Liver	1705.0	31400989	0.054297653	260	410	16414.0
TOTAL	Total	0	None	F	Females	1	2002	2	C	C22	Malignant neoplasm of liver and intrahepatic bile ducts	Liver	1788.0	31645924	0.056500167	260	410	16840.0
TOTAL	Total	0	None	F	Females	1	2003	2	C	C22	Malignant neoplasm of liver and intrahepatic bile ducts	Liver	1856.0	31887488	0.058204648	260	410	18745.0
TOTAL	Total	0	None	F	Females	1	2004	2	C	C22	Malignant neoplasm of liver and intrahepatic bile ducts	Liver	1839.0	32120553	0.057253062	260	410	15609.0
TOTAL	Total	0	None	F	Females	1	2005	2	C	C22	Malignant neoplasm of liver and intrahepatic bile ducts	Liver	1922.0	32387008	0.059344784	260	410	15984.0
TOTAL	Total	0	None	F	Females	1	2006	2	C	C22	Malignant neoplasm of liver and intrahepatic bile ducts	Liver	1972.0	32638535	0.060419379	260	410	15732.0
TOTAL	Total	0	None	F	Females	1	2007	2	C	C22	Malignant neoplasm of liver and intrahepatic bile ducts	Liver	1937.0	32841832	0.058979657	260	410	15594.0
TOTAL	Total	0	None	F	Females	1	2008	2	C	C22	Malignant neoplasm of liver and intrahepatic bile ducts	Liver	2119.0	33026963	0.064159699	260	410	15998.0
TOTAL	Total	0	None	M	Males	1	2001	2	C	C25	Malignant neoplasm of pancreas	Pancreas	3788.0	29578326	0.128066747	250	390	3788.0
TOTAL	Total	0	None	M	Males	1	2002	2	C	C25	Malignant neoplasm of pancreas	Pancreas	3875.0	29778112	0.130129136	250	390	3875.0
TOTAL	Total	0	None	M	Males	1	2003	2	C	C25	Malignant neoplasm of pancreas	Pancreas	3946.0	29976600	0.131636009	250	390	3946.0
TOTAL	Total	0	None	M	Males	1	2004	2	C	C25	Malignant neoplasm of pancreas	Pancreas	4088.0	30171688	0.135491259	250	390	4088.0
TOTAL	Total	0	None	M	Males	1	2005	2	C	C25	Malignant neoplasm of pancreas	Pancreas	4235.0	30385862	0.139374029	250	390	4235.0
TOTAL	Total	0	None	M	Males	1	2006	2	C	C25	Malignant neoplasm of pancreas	Pancreas	4307.0	30591100	0.140792583	250	390	4307.0
