AGE	AGE_LABEL	Death_Rate	ICD10	ICD10_LABEL	Nb_death	Organ	Pop	SEX	SEX_LABEL	Sum_death_in_cat	TIME	x	y
TOTAL	Total	0.002569449	J09-J11	Influenza (including swine flu)	76.0	Lung	29578326	M	Males	44219.0	2001	230	460
TOTAL	Total	0.003184613	J09-J11	Influenza (including swine flu)	100.0	Lung	31400989	F	Females	23623.0	2001	230	460
TOTAL	Total	0.167250844	J12-J18	Pneumonia	4947.0	Lung	29578326	M	Males	44219.0	2001	230	460
TOTAL	Total	0.183847713	J12-J18	Pneumonia	5773.0	Lung	31400989	F	Females	23623.0	2001	230	460
TOTAL	Total	0.166304205	J40-J44_J47	Other lower respiratory diseases	4919.0	Lung	29578326	M	Males	44219.0	2001	230	460
TOTAL	Total	0.077067636	J40-J44_J47	Other lower respiratory diseases	2420.0	Lung	31400989	F	Females	23623.0	2001	230	460
TOTAL	Total	0.18817833	J40-J47	Chronic lower respiratory diseases	5566.0	Lung	29578326	M	Males	44219.0	2001	230	460
TOTAL	Total	0.104805616	J40-J47	Chronic lower respiratory diseases	3291.0	Lung	31400989	F	Females	23623.0	2001	230	460
TOTAL	Total	0.021874125	J45_J46	Asthma and status asthmaticus	647.0	Lung	29578326	M	Males	44219.0	2001	230	460
TOTAL	Total	0.02773798	J45_J46	Asthma and status asthmaticus	871.0	Lung	31400989	F	Females	23623.0	2001	230	460
TOTAL	Total	0.752301146	ALL	All Diseases	23623.0	Lung	31400989	F	Females	23623.0	2001	230	460
TOTAL	Total	1.494979804	ALL	All Diseases	44219.0	Lung	29578326	M	Males	44219.0	2001	230	460
TOTAL	Total	0.084318497	C81-C86	Hodgkin disease and lymphomas	2494.0	Lymphatic system	29578326	M	Males	3921.0	2001	310	300
TOTAL	Total	0.06971118	C81-C86	Hodgkin disease and lymphomas	2189.0	Lymphatic system	31400989	F	Females	3568.0	2001	310	300
TOTAL	Total	0.048244786	C88_C90_C96	Other malignant neoplasm of lymphoid. haematopoietic and related tissue	1427.0	Lymphatic system	29578326	M	Males	3921.0	2001	310	300
TOTAL	Total	0.043915814	C88_C90_C96	Other malignant neoplasm of lymphoid. haematopoietic and related tissue	1379.0	Lymphatic system	31400989	F	Females	3568.0	2001	310	300
TOTAL	Total	0.113626994	ALL	All Diseases	3568.0	Lymphatic system	31400989	F	Females	3568.0	2001	310	300
TOTAL	Total	0.132563283	ALL	All Diseases	3921.0	Lymphatic system	29578326	M	Males	3921.0	2001	310	300
TOTAL	Total	0.043613016	F_OTH	Other mental and behavioural disorders (remainder of F00-F99)	1290.0	Mental disorders	29578326	M	Males	7468.0	2001	245	580
TOTAL	Total	0.04913858	F_OTH	Other mental and behavioural disorders (remainder of F00-F99)	1543.0	Mental disorders	31400989	F	Females	10527.0	2001	245	580
TOTAL	Total	0.119276527	F01_F03	Dementia	3528.0	Mental disorders	29578326	M	Males	7468.0	2001	245	580
TOTAL	Total	0.266201807	F01_F03	Dementia	8359.0	Mental disorders	31400989	F	Females	10527.0	2001	245	580
TOTAL	Total	0.085298945	F10	Mental and behavioural disorders due to use of alcohol	2523.0	Mental disorders	29578326	M	Males	7468.0	2001	245	580
TOTAL	Total	0.018757371	F10	Mental and behavioural disorders due to use of alcohol	589.0	Mental disorders	31400989	F	Females	10527.0	2001	245	580
TOTAL	Total	0.004293685	TOXICO	Drug dependence. toxicomania (F11-F16. F18-F19)	127.0	Mental disorders	29578326	M	Males	7468.0	2001	245	580
TOTAL	Total	0.001146461	TOXICO	Drug dependence. toxicomania (F11-F16. F18-F19)	36.0	Mental disorders	31400989	F	Females	10527.0	2001	245	580
TOTAL	Total	0.335244218	ALL	All Diseases	10527.0	Mental disorders	31400989	F	Females	10527.0	2001	245	580
TOTAL	Total	0.252482172	ALL	All Diseases	7468.0	Mental disorders	29578326	M	Males	7468.0	2001	245	580
TOTAL	Total	0.148689956	G_H_OTH	Other diseases of the nervous system and the sense organs (remainder of G00-H95)	4398.0	Nervous system	29578326	M	Males	9497.0	2001	240	515
TOTAL	Total	0.126046985	G_H_OTH	Other diseases of the nervous system and the sense organs (remainder of G00-H95)	3958.0	Nervous system	31400989	F	Females	12230.0	2001	240	515
TOTAL	Total	0.072384083	G20	Parkinson disease	2141.0	Nervous system	29578326	M	Males	9497.0	2001	240	515
TOTAL	Total	0.062259186	G20	Parkinson disease	1955.0	Nervous system	31400989	F	Females	12230.0	2001	240	515
TOTAL	Total	0.10000566	G30	Alzheimer disease	2958.0	Nervous system	29578326	M	Males	9497.0	2001	240	515
TOTAL	Total	0.201172008	G30	Alzheimer disease	6317.0	Nervous system	31400989	F	Females	12230.0	2001	240	515
TOTAL	Total	0.389478179	ALL	All Diseases	12230.0	Nervous system	31400989	F	Females	12230.0	2001	240	515
TOTAL	Total	0.321079699	ALL	All Diseases	9497.0	Nervous system	29578326	M	Males	9497.0	2001	240	515
TOTAL	Total	0.116368993	C15	Malignant neoplasm of oesophagus	3442.0	Oesophagus	29578326	M	Males	3442.0	2001	278	490
TOTAL	Total	0.022260445	C15	Malignant neoplasm of oesophagus	699.0	Oesophagus	31400989	F	Females	699.0	2001	278	490
TOTAL	Total	0.022260445	ALL	All Diseases	699.0	Oesophagus	31400989	F	Females	699.0	2001	278	490
TOTAL	Total	0.116368993	ALL	All Diseases	3442.0	Oesophagus	29578326	M	Males	3442.0	2001	278	490
TOTAL	Total	0.128066747	C25	Malignant neoplasm of pancreas	3788.0	Pancreas	29578326	M	Males	3788.0	2001	250	390
TOTAL	Total	0.113181149	C25	Malignant neoplasm of pancreas	3554.0	Pancreas	31400989	F	Females	3554.0	2001	250	390
TOTAL	Total	0.113181149	ALL	All Diseases	3554.0	Pancreas	31400989	F	Females	3554.0	2001	250	390
TOTAL	Total	0.128066747	ALL	All Diseases	3788.0	Pancreas	29578326	M	Males	3788.0	2001	250	390
TOTAL	Total	0.315332247	C61	Malignant neoplasm of prostate	9327.0	Prostate	29578326	M	Males	9327.0	2001	290	330
TOTAL	Total	0.0	C61	Malignant neoplasm of prostate		Prostate	31400989	F	Females	0.0	2001	290	330
TOTAL	Total	0.0	ALL	All Diseases	0.0	Prostate	31400989	F	Females	0.0	2001	290	330
TOTAL	Total	0.315332247	ALL	All Diseases	9327.0	Prostate	29578326	M	Males	9327.0	2001	290	330
TOTAL	Total	0.041347844	M_OTH	Other diseases of the musculoskeletal system and connective tissue (remainder of M00-M99)	1223.0	Skeleton	29578326	M	Males	1387.0	2001	145	380
TOTAL	Total	0.061877032	M_OTH	Other diseases of the musculoskeletal system and connective tissue (remainder of M00-M99)	1943.0	Skeleton	31400989	F	Females	2518.0	2001	145	380
TOTAL	Total	0.0055446	RHEUM_ARTHRO	Rheumatoid arthritis and arthrosis (M05-M06.M15-M19)	164.0	Skeleton	29578326	M	Males	1387.0	2001	145	380
TOTAL	Total	0.018311525	RHEUM_ARTHRO	Rheumatoid arthritis and arthrosis (M05-M06.M15-M19)	575.0	Skeleton	31400989	F	Females	2518.0	2001	145	380
TOTAL	Total	0.080188557	ALL	All Diseases	2518.0	Skeleton	31400989	F	Females	2518.0	2001	145	380
TOTAL	Total	0.046892444	ALL	All Diseases	1387.0	Skeleton	29578326	M	Males	1387.0	2001	145	380
TOTAL	Total	0.025728298	C43	Malignant melanoma of skin	761.0	Skin	29578326	M	Males	761.0	2001	415	375
TOTAL	Total	0.020094908	C43	Malignant melanoma of skin	631.0	Skin	31400989	F	Females	631.0	2001	415	375
TOTAL	Total	0.020094908	ALL	All Diseases	631.0	Skin	31400989	F	Females	631.0	2001	415	375
TOTAL	Total	0.025728298	ALL	All Diseases	761.0	Skin	29578326	M	Males	761.0	2001	415	375
TOTAL	Total	0.108626837	C16	Malignant neoplasm of stomach	3213.0	Stomach	29578326	M	Males	3699.0	2001	295	400
TOTAL	Total	0.064329184	C16	Malignant neoplasm of stomach	2020.0	Stomach	31400989	F	Females	2537.0	2001	295	400
TOTAL	Total	0.01643095	K25-K28	Ulcer of stomach. duodenum and jejunum	486.0	Stomach	29578326	M	Males	3699.0	2001	295	400
TOTAL	Total	0.01646445	K25-K28	Ulcer of stomach. duodenum and jejunum	517.0	Stomach	31400989	F	Females	2537.0	2001	295	400
TOTAL	Total	0.080793634	ALL	All Diseases	2537.0	Stomach	31400989	F	Females	2537.0	2001	295	400
TOTAL	Total	0.125057787	ALL	All Diseases	3699.0	Stomach	29578326	M	Males	3699.0	2001	295	400
TOTAL	Total	0.004969855	C73	Malignant neoplasm of thyroid gland	147.0	Thyroid	29578326	M	Males	147.0	2001	278	510
TOTAL	Total	0.009617531	C73	Malignant neoplasm of thyroid gland	302.0	Thyroid	31400989	F	Females	302.0	2001	278	510
TOTAL	Total	0.009617531	ALL	All Diseases	302.0	Thyroid	31400989	F	Females	302.0	2001	278	510
TOTAL	Total	0.004969855	ALL	All Diseases	147.0	Thyroid	29578326	M	Males	147.0	2001	278	510
TOTAL	Total	0.126951065	C00-C14	Malignant neoplasm of lip. oral cavity. pharynx	3755.0	oral cavity	29578326	M	Males	3755.0	2001	278	550
TOTAL	Total	0.023502444	C00-C14	Malignant neoplasm of lip. oral cavity. pharynx	738.0	oral cavity	31400989	F	Females	738.0	2001	278	550
TOTAL	Total	0.023502444	ALL	All Diseases	738.0	oral cavity	31400989	F	Females	738.0	2001	278	550
TOTAL	Total	0.126951065	ALL	All Diseases	3755.0	oral cavity	29578326	M	Males	3755.0	2001	278	550
TOTAL	Total	0.095909371	C91-C95	Leukaemia	2856.0	Blood	29778112	M	Males	2856.0	2002	265	280
TOTAL	Total	0.076597542	C91-C95	Leukaemia	2424.0	Blood	31645924	F	Females	2424.0	2002	265	280
TOTAL	Total	0.076597542	ALL	All Diseases	2424.0	Blood	31645924	F	Females	2424.0	2002	265	280
TOTAL	Total	0.095909371	ALL	All Diseases	2856.0	Blood	29778112	M	Males	2856.0	2002	265	280
TOTAL	Total	0.055947133	C70-C72	Malignant neoplasm of brain and central nervous system	1666.0	Brain	29778112	M	Males	1666.0	2002	305	580
TOTAL	Total	0.040921542	C70-C72	Malignant neoplasm of brain and central nervous system	1295.0	Brain	31645924	F	Females	1295.0	2002	305	580
TOTAL	Total	0.040921542	ALL	All Diseases	1295.0	Brain	31645924	F	Females	1295.0	2002	305	580
TOTAL	Total	0.055947133	ALL	All Diseases	1666.0	Brain	29778112	M	Males	1666.0	2002	305	580
TOTAL	Total	0.006313362	C50	Malignant neoplasm of breast	188.0	Breast	29778112	M	Males	188.0	2002	320	460
TOTAL	Total	0.357107601	C50	Malignant neoplasm of breast	11301.0	Breast	31645924	F	Females	11301.0	2002	320	460
TOTAL	Total	0.357107601	ALL	All Diseases	11301.0	Breast	31645924	F	Females	11301.0	2002	320	460
TOTAL	Total	0.006313362	ALL	All Diseases	188.0	Breast	29778112	M	Males	188.0	2002	320	460
TOTAL	Total	0.428569817	I_OTH	Other diseases of the circulatory system (remainder of I00-I99)	12762.0	Circulatory system	29778112	M	Males	12762.0	2002	230	300
TOTAL	Total	0.505373141	I_OTH	Other diseases of the circulatory system (remainder of I00-I99)	15993.0	Circulatory system	31645924	F	Females	15993.0	2002	230	300
TOTAL	Total	0.505373141	ALL	All Diseases	15993.0	Circulatory system	31645924	F	Females	15993.0	2002	230	300
TOTAL	Total	0.428569817	ALL	All Diseases	12762.0	Circulatory system	29778112	M	Males	12762.0	2002	230	300
TOTAL	Total	0.289877343	C18-C21	Malignant neoplasm of colon. rectosigmoid junction. rectum. anus and anal canal	8632.0	Colo-Rectum	29778112	M	Males	8632.0	2002	265	355
TOTAL	Total	0.24202169	C18-C21	Malignant neoplasm of colon. rectosigmoid junction. rectum. anus and anal canal	7659.0	Colo-Rectum	31645924	F	Females	7659.0	2002	265	355
TOTAL	Total	0.24202169	ALL	All Diseases	7659.0	Colo-Rectum	31645924	F	Females	7659.0	2002	265	355
TOTAL	Total	0.289877343	ALL	All Diseases	8632.0	Colo-Rectum	29778112	M	Males	8632.0	2002	265	355
TOTAL	Total	0.535561153	I60-I69	Cerebrovascular diseases	15948.0	Digestive System	29778112	M	Males	22418.0	2002	278	380
TOTAL	Total	0.689978273	I60-I69	Cerebrovascular diseases	21835.0	Digestive System	31645924	F	Females	30318.0	2002	278	380
TOTAL	Total	0.217273681	K_OTH	Other diseases of the digestive system (remainder of K00-K93)	6470.0	Digestive System	29778112	M	Males	22418.0	2002	278	380
TOTAL	Total	0.268059798	K_OTH	Other diseases of the digestive system (remainder of K00-K93)	8483.0	Digestive System	31645924	F	Females	30318.0	2002	278	380
TOTAL	Total	0.958038072	ALL	All Diseases	30318.0	Digestive System	31645924	F	Females	30318.0	2002	278	380
TOTAL	Total	0.752834834	ALL	All Diseases	22418.0	Digestive System	29778112	M	Males	22418.0	2002	278	380
TOTAL	Total	0.122707578	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	3654.0	General	29778112	M	Males	18545.0	2002	400	545
TOTAL	Total	0.12861056	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	4070.0	General	31645924	F	Females	13946.0	2002	400	545
TOTAL	Total	0.02804073	B20-B24	Human immunodeficiency virus [HIV] disease	835.0	General	29778112	M	Males	18545.0	2002	400	545
TOTAL	Total	0.008121109	B20-B24	Human immunodeficiency virus [HIV] disease	257.0	General	31645924	F	Females	13946.0	2002	400	545
TOTAL	Total	0.472024553	C_OTH	Other malignant neoplasms (remainder of C00-C97)	14056.0	General	29778112	M	Males	18545.0	2002	400	545
TOTAL	Total	0.303956996	C_OTH	Other malignant neoplasms (remainder of C00-C97)	9619.0	General	31645924	F	Females	13946.0	2002	400	545
TOTAL	Total	0.440688665	ALL	All Diseases	13946.0	General	31645924	F	Females	13946.0	2002	400	545
TOTAL	Total	0.622772861	ALL	All Diseases	18545.0	General	29778112	M	Males	18545.0	2002	400	545
TOTAL	Total	0.0	C53	Malignant neoplasm of cervix uteri		Genitourinary system	29778112	M	Males	7290.0	2002	265	330
TOTAL	Total	0.022972943	C53	Malignant neoplasm of cervix uteri	727.0	Genitourinary system	31645924	F	Females	11485.0	2002	265	330
TOTAL	Total	0.0	C54_C55	Malignant neoplasm of other parts of uterus		Genitourinary system	29778112	M	Males	7290.0	2002	265	330
TOTAL	Total	0.069961617	C54_C55	Malignant neoplasm of other parts of uterus	2214.0	Genitourinary system	31645924	F	Females	11485.0	2002	265	330
TOTAL	Total	0.0	C56	Malignant neoplasm of ovary		Genitourinary system	29778112	M	Males	7290.0	2002	265	330
TOTAL	Total	0.10535322	C56	Malignant neoplasm of ovary	3334.0	Genitourinary system	31645924	F	Females	11485.0	2002	265	330
TOTAL	Total	0.111021142	C67	Malignant neoplasm of bladder	3306.0	Genitourinary system	29778112	M	Males	7290.0	2002	265	330
TOTAL	Total	0.032200039	C67	Malignant neoplasm of bladder	1019.0	Genitourinary system	31645924	F	Females	11485.0	2002	265	330
TOTAL	Total	0.029719816	N_OTH	Other diseases of the genitourinary system (remainder of N00-N99)	885.0	Genitourinary system	29778112	M	Males	7290.0	2002	265	330
TOTAL	Total	0.029703667	N_OTH	Other diseases of the genitourinary system (remainder of N00-N99)	940.0	Genitourinary system	31645924	F	Females	11485.0	2002	265	330
TOTAL	Total	0.104069727	N00-N29	Diseases of kidney and ureter	3099.0	Genitourinary system	29778112	M	Males	7290.0	2002	265	330
TOTAL	Total	0.10273045	N00-N29	Diseases of kidney and ureter	3251.0	Genitourinary system	31645924	F	Females	11485.0	2002	265	330
TOTAL	Total	0.362921936	ALL	All Diseases	11485.0	Genitourinary system	31645924	F	Females	11485.0	2002	265	330
TOTAL	Total	0.244810685	ALL	All Diseases	7290.0	Genitourinary system	29778112	M	Males	7290.0	2002	265	330
TOTAL	Total	0.345757313	I20_I23-I25	Other ischaemic heart diseases	10296.0	Heart	29778112	M	Males	46046.0	2002	290	450
TOTAL	Total	0.276496904	I20_I23-I25	Other ischaemic heart diseases	8750.0	Heart	31645924	F	Females	48537.0	2002	290	450
TOTAL	Total	0.479311784	I21_I22	Acute myocardial infarction including subsequent myocardial infarction	14273.0	Heart	29778112	M	Males	46046.0	2002	290	450
TOTAL	Total	0.341244579	I21_I22	Acute myocardial infarction including subsequent myocardial infarction	10799.0	Heart	31645924	F	Females	48537.0	2002	290	450
TOTAL	Total	0.721234442	I30-I51	Other heart diseases	21477.0	Heart	29778112	M	Males	46046.0	2002	290	450
TOTAL	Total	0.916010542	I30-I51	Other heart diseases	28988.0	Heart	31645924	F	Females	48537.0	2002	290	450
TOTAL	Total	1.533752024	ALL	All Diseases	48537.0	Heart	31645924	F	Females	48537.0	2002	290	450
TOTAL	Total	1.54630354	ALL	All Diseases	46046.0	Heart	29778112	M	Males	46046.0	2002	290	450
TOTAL	Total	0.064779124	C64	Malignant neoplasm of kidney. except renal pelvis	1929.0	Kidney	29778112	M	Males	1929.0	2002	310	360
